Table S9. Prediction of promoters and terminators.									
			Terminator			Promoter			
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"45,621"	3.84	"45,606"	"45,583"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"15,806"	3.83	"15,791"	"15,772"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	8525	3.78	8510	8490
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	4775	3.78	4760	4739
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	9303	3.76	9288	9266
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"44,553"	3.76	"44,538"	"44,515"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"56,326"	3.76	"56,311"	"56,291"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	6870	3.71	6855	6833
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"33,565"	3.7	"33,550"	"33,530"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"25,735"	3.68	"25,720"	"25,699"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"17,271"	3.68	"17,256"	"17,237"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"53,887"	3.66	"53,872"	"53,851"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"46,445"	3.65	"46,430"	"46,406"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	3091	3.64	3076	3055
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"12,503"	3.64	"12,488"	"12,466"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"58,337"	3.63	"58,322"	"58,297"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"49,793"	3.63	"49,778"	"49,761"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	7566	3.6	7551	7529
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"19,830"	3.6	"19,815"	"19,792"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"17,573"	3.57	"17,558"	"17,534"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"31,073"	3.53	"31,057"	"31,037"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"51,125"	3.53	"51,110"	"51,087"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"55,954"	3.52	"55,939"	"55,915"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"31,504"	3.51	"31,489"	"31,466"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	8862	3.47	8847	8823
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"52,110"	3.45	"52,095"	"52,073"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"47,601"	3.45	"47,586"	"47,566"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"10,349"	3.43	"10,334"	"10,316"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"29,073"	3.42	"29,058"	"29,038"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	1588	3.41	1573	1549
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"59,143"	3.33	"59,128"	"59,105"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"14,858"	3.31	"14,843"	"14,826"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"48,162"	3.3	"48,147"	"48,122"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"14,046"	3.28	"14,031"	"14,008"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"61,593"	3.22	"61,578"	"61,554"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"22,575"	3.19	"22,560"	"22,536"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"16,873"	3.17	"16,858"	"16,840"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"36,994"	3.13	"36,979"	"36,961"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"34,074"	3.01	"34,059"	"34,036"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"50,188"	3	"50,169"	"50,154"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"57,772"	3	"57,757"	"57,736"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"43,213"	2.98	"43,201"	"43,181"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"10,715"	2.96	"10,700"	"10,681"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"58,724"	2.94	"58,709"	"58,688"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"55,108"	2.93	"55,093"	"55,074"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"16,473"	2.79	"16,458"	"16,433"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"56,770"	2.72	"56,755"	"56,733"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	7203	2.71	7188	7170
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"23,725"	2.7	"23,710"	"23,691"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"25,417"	2.63	"25,402"	"25,383"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"13,727"	2.62	"13,711"	"13,689"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	4267	2.61	4252	4233
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"38,331"	2.6	"38,316"	"38,294"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	9662	2.56	9647	9628
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	5586	2.54	5571	5546
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"37,353"	2.53	"37,337"	"37,313"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"36,183"	2.51	"36,168"	"36,147"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	558	2.45	543	526
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"20,548"	2.42	"20,533"	"20,514"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"45,100"	2.36	"45,085"	"45,065"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"35,374"	2.27	"35,359"	"35,337"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"12,203"	2.27	"12,189"	"12,168"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"44,120"	2.26	"44,105"	"44,080"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"29,459"	2.25	"29,444"	"29,423"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"39,770"	2.19	"39,755"	"39,738"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"11,189"	1.94	"11,174"	"11,150"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"49,070"	1.93	"49,055"	"49,033"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"51,805"	1.82	"51,784"	"51,770"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"18,879"	1.75	"18,864"	"18,844"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"38,644"	1.73	"38,629"	"38,604"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"15,387"	1.66	"15,372"	"15,348"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"36,661"	1.51	"36,646"	"36,625"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"41,487"	1.5	"41,472"	"41,455"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"22,963"	1.36	"22,948"	"22,928"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	9986	1.28	9971	9949
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"43,816"	1.15	"43,801"	"43,784"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"27,173"	0.99	"27,158"	"27,138"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"13,397"	0.96	"13,382"	"13,362"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	884	0.91	869	850
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"37,693"	0.87	"37,678"	"37,657"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	6395	0.39	6380	6360
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"57,099"	0.34	"57,084"	"57,065"
iacP	IMGVR_UViG_3300033145_000307	"61,950"	-	"11,657"	50	"32,712"	0.23	"32,698"	"32,674"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"27,608"	7.74	"27,593"	"27,574"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	4263	7.6	4248	4227
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	7832	7.29	7817	7797
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	2538	6.62	2523	2501
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	8792	6.56	8777	8755
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"29,723"	6.15	"29,708"	"29,686"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"32,441"	6.08	"32,426"	"32,404"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"33,120"	6.06	"33,105"	"33,085"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	4941	6.02	4926	4906
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"24,701"	5.68	"24,686"	"24,669"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"22,599"	5.67	"22,584"	"22,560"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	5293	5.51	5278	5257
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	227	5.38	212	194
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	6863	5.14	6848	6823
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"10,497"	4.89	"10,482"	"10,462"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"23,223"	4.82	"23,208"	"23,186"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	9249	4.76	9232	9213
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"10,827"	4.72	"10,812"	"10,792"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"11,306"	4.71	"11,291"	"11,270"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"36,708"	4.68	"36,693"	"36,670"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"18,565"	4.63	"18,550"	"18,525"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"29,285"	4.6	"29,270"	"29,247"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	6324	4.57	6309	6291
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"34,438"	4.5	"34,423"	"34,401"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"19,544"	4.49	"19,529"	"19,508"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"31,018"	4.47	"31,003"	"30,983"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"31,955"	4.46	"31,940"	"31,915"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"37,115"	4.44	"37,100"	"37,076"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"17,400"	4.4	"17,385"	"17,360"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"31,457"	4.27	"31,442"	"31,421"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"14,233"	4.19	"14,218"	"14,201"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"18,150"	4.14	"18,135"	"18,118"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"13,690"	4.07	"13,675"	"13,655"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	1477	3.88	1462	1444
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"15,725"	3.86	"15,710"	"15,690"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	2114	3.83	2099	2078
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"30,267"	3.83	"30,252"	"30,232"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"37,462"	3.68	"37,447"	"37,422"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"23,912"	3.65	"23,897"	"23,877"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"12,763"	3.63	"12,748"	"12,725"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"21,980"	3.61	"21,965"	"21,946"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"11,628"	3.44	"11,613"	"11,596"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"37,909"	3.43	"37,894"	"37,876"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"28,647"	3.36	"28,632"	"28,607"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"26,295"	3.29	"26,280"	"26,261"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"25,650"	3.29	"25,635"	"25,612"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	3932	3.29	3917	3896
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"21,564"	3.27	"21,549"	"21,532"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	9568	3.22	9552	9536
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	568	3.13	553	533
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	7275	3.06	7260	7240
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"24,359"	3.02	"24,344"	"24,327"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"17,708"	2.97	"17,693"	"17,669"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"16,266"	2.94	"16,251"	"16,232"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"12,218"	2.93	"12,203"	"12,181"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"20,622"	2.88	"20,607"	"20,590"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"14,650"	2.87	"14,635"	"14,618"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"21,041"	2.82	"21,026"	"21,004"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"28,188"	2.77	"28,173"	"28,149"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	8474	2.73	8459	8437
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"33,680"	2.69	"33,665"	"33,640"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"25,279"	2.69	"25,264"	"25,239"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"34,823"	2.65	"34,808"	"34,790"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"36,406"	2.54	"36,391"	"36,372"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	3249	2.51	3234	3211
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"26,835"	2.48	"26,819"	"26,801"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"32,761"	2.48	"32,746"	"32,722"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	5594	2.45	5575	5558
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"15,397"	2.33	"15,382"	"15,363"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	3608	2.16	3593	3569
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"35,362"	2.16	"35,347"	"35,326"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"16,594"	2.1	"16,579"	"16,559"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"19,926"	2.05	"19,911"	"19,888"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"22,905"	1.86	"22,890"	"22,869"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"34,060"	1.78	"34,045"	"34,023"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"35,956"	1.75	"35,941"	"35,918"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"19,078"	1.53	"19,063"	"19,039"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	9899	1.45	9884	9863
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"22,292"	1.44	"22,277"	"22,253"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"38,428"	1.42	"38,413"	"38,391"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"15,055"	1.27	"15,040"	"15,023"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"39,051"	1.24	"39,036"	"39,015"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	4587	1.22	4572	4555
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	1086	1.13	1071	1051
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"30,708"	1.08	"30,693"	"30,675"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	8172	0.94	8157	8138
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"28,952"	0.93	"28,937"	"28,919"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"16,991"	0.83	"16,976"	"16,955"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"27,219"	0.75	"27,204"	"27,179"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"20,300"	0.68	"20,285"	"20,266"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"13,285"	0.53	"13,270"	"13,245"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	"25,986"	0.32	"25,971"	"25,946"
fliC	IMGVR_UViG_3300012840_000025	"39,083"	-	"19,758"	52	5946	0.27	5931	5907
