Table S4. Phage lifestyles.	
IMGVR_UViG_3300045171_000080	Temperate
IMGVR_UViG_3300047500_000089	Temperate
IMGVR_UViG_3300045148_000051	Temperate
IMGVR_UViG_3300045191_000056	Temperate
IMGVR_UViG_3300045192_000059	Temperate
IMGVR_UViG_3300045149_000056	Temperate
IMGVR_UViG_3300045252_000090	Temperate
IMGVR_UViG_3300046019_000073	Temperate
IMGVR_UViG_3300045254_000086	Temperate
IMGVR_UViG_3300045519_000084	Temperate
IMGVR_UViG_3300045520_000097	Temperate
IMGVR_UViG_3300047620_000055	Temperate
IMGVR_UViG_3300045810_000067	Temperate
IMGVR_UViG_3300046029_000075	Temperate
IMGVR_UViG_3300045816_000076	Temperate
IMGVR_UViG_3300045817_000055	Temperate
IMGVR_UViG_3300045818_000101	Temperate
IMGVR_UViG_3300045811_000084	Temperate
IMGVR_UViG_3300045182_000073	Temperate
IMGVR_UViG_3300047503_000097	Temperate
IMGVR_UViG_3300045194_000078	Temperate
IMGVR_UViG_3300045196_000073	Temperate
IMGVR_UViG_3300048933_000080	Temperate
IMGVR_UViG_3300048935_000076	Temperate
IMGVR_UViG_3300045213_000104	Temperate
IMGVR_UViG_3300045214_000112	Temperate
IMGVR_UViG_3300048934_000081	Temperate
IMGVR_UViG_3300049808_000085	Temperate
IMGVR_UViG_3300045215_000111	Temperate
IMGVR_UViG_3300045298_000094	Temperate
IMGVR_UViG_3300045259_000104	Temperate
IMGVR_UViG_3300049634_000073	Temperate
IMGVR_UViG_3300049635_000095	Temperate
IMGVR_UViG_3300049636_000089	Temperate
IMGVR_UViG_3300049637_000081	Temperate
IMGVR_UViG_3300045094_000065	Temperate
IMGVR_UViG_3300045095_000120	Temperate
IMGVR_UViG_3300045096_000066	Temperate
IMGVR_UViG_3300045132_000084	Temperate
IMGVR_UViG_3300045097_000069	Temperate
IMGVR_UViG_3300045163_000045	Temperate
IMGVR_UViG_3300045245_000070	Temperate
IMGVR_UViG_3300045246_000068	Temperate
IMGVR_UViG_3300045247_000065	Temperate
IMGVR_UViG_3300045690_000083	Temperate
IMGVR_UViG_3300045731_000058	Temperate
IMGVR_UViG_3300045692_000050	Virulent
IMGVR_UViG_3300045693_000055	Temperate
IMGVR_UViG_3300045174_000085	Temperate
IMGVR_UViG_3300045175_000096	Temperate
IMGVR_UViG_3300045176_000088	Temperate
IMGVR_UViG_3300045089_000102	Temperate
IMGVR_UViG_3300045177_000068	Temperate
IMGVR_UViG_3300045178_000053	Temperate
IMGVR_UViG_3300045203_000059	Temperate
IMGVR_UViG_3300045204_000066	Temperate
IMGVR_UViG_3300045202_000115	Temperate
IMGVR_UViG_3300045255_000106	Temperate
IMGVR_UViG_3300045205_000079	Temperate
IMGVR_UViG_3300045206_000065	Temperate
IMGVR_UViG_3300045230_000070	Temperate
IMGVR_UViG_3300045231_000060	Temperate
IMGVR_UViG_3300045232_000061	Temperate
IMGVR_UViG_3300047621_000104	Temperate
IMGVR_UViG_3300045233_000120	Temperate
IMGVR_UViG_3300045278_000099	Temperate
IMGVR_UViG_3300044932_000106	Temperate
IMGVR_UViG_3300044932_000045	Virulent
IMGVR_UViG_3300044929_000104	Temperate
IMGVR_UViG_3300044933_000071	Temperate
IMGVR_UViG_3300044933_000041	Virulent
IMGVR_UViG_3300044934_000115	Temperate
IMGVR_UViG_3300044930_000093	Temperate
IMGVR_UViG_3300044989_000074	Temperate
IMGVR_UViG_3300045979_000137	Temperate
IMGVR_UViG_3300045164_000071	Temperate
IMGVR_UViG_3300045165_000120	Temperate
IMGVR_UViG_3300045166_000117	Temperate
IMGVR_UViG_3300045167_000067	Temperate
IMGVR_UViG_3300046288_000151	Filtered
IMGVR_UViG_3300046195_000138	Virulent
IMGVR_UViG_3300046291_000098	Temperate
IMGVR_UViG_3300046286_000016	Temperate
IMGVR_UViG_3300010217_000002	Temperate
IMGVR_UViG_3300010225_000005	Temperate
IMGVR_UViG_3300013939_000018	Temperate
IMGVR_UViG_3300034024_000096	Temperate
IMGVR_UViG_3300003838_000141	Temperate
IMGVR_UViG_3300031415_000153	Temperate
IMGVR_UViG_3300031416_000267	Temperate
IMGVR_UViG_3300031420_000452	Temperate
IMGVR_UViG_3300031418_000630	Temperate
IMGVR_UViG_3300031413_000530	Temperate
IMGVR_UViG_3300031151_000429	Temperate
IMGVR_UViG_3300031087_000126	Temperate
IMGVR_UViG_3300031134_000650	Temperate
IMGVR_UViG_3300031088_000746	Temperate
IMGVR_UViG_3300031112_000366	Temperate
IMGVR_UViG_3300031282_000169	Temperate
IMGVR_UViG_3300031372_000317	Virulent
IMGVR_UViG_3300026487_000143	Temperate
IMGVR_UViG_3300026487_000170	Temperate
IMGVR_UViG_3300026487_000206	Temperate
IMGVR_UViG_3300031370_000235	Temperate
IMGVR_UViG_3300031370_000297	Temperate
IMGVR_UViG_3300026472_000236	Temperate
IMGVR_UViG_3300031112_000371	Temperate
IMGVR_UViG_3300031134_000458	Temperate
IMGVR_UViG_3300031084_000152	Temperate
IMGVR_UViG_3300031419_000439	Temperate
IMGVR_UViG_3300031419_000054	Temperate
IMGVR_UViG_3300031419_000555	Temperate
IMGVR_UViG_3300031420_000445	Temperate
IMGVR_UViG_3300031420_000502	Temperate
IMGVR_UViG_3300031417_000398	Temperate
IMGVR_UViG_3300031416_000290	Virulent
IMGVR_UViG_3300031413_000351	Temperate
IMGVR_UViG_3300031110_000634	Temperate
IMGVR_UViG_3300032699_000051	-
IMGVR_UViG_3300032697_000442	-
IMGVR_UViG_3300033536_000135	-
IMGVR_UViG_3300032889_000150	-
IMGVR_UViG_3300032792_000105	-
IMGVR_UViG_3300033530_000269	-
IMGVR_UViG_3300033534_000234	-
IMGVR_UViG_3300033526_000214	-
IMGVR_UViG_3300032760_000148	-
IMGVR_UViG_3300033533_000456	-
IMGVR_UViG_3300031616_000001	Temperate
IMGVR_UViG_3300050196_000103	Virulent
IMGVR_UViG_3300050156_000115	Virulent
IMGVR_UViG_3300050157_000041	Virulent
IMGVR_UViG_3300050153_000017	Virulent
IMGVR_UViG_3300050154_000056	Virulent
IMGVR_UViG_3300050142_000010	Virulent
IMGVR_UViG_3300050143_000038	Virulent
IMGVR_UViG_3300050145_000019	Virulent
IMGVR_UViG_3300050193_000017	Virulent
IMGVR_UViG_3300050194_000017	Virulent
IMGVR_UViG_3300050146_000018	Virulent
IMGVR_UViG_3300050147_000032	Virulent
IMGVR_UViG_3300023100_000083	-
IMGVR_UViG_3300050821_018659	-
IMGVR_UViG_3300050821_012672	Virulent
IMGVR_UViG_3300023300_000327	Temperate
IMGVR_UViG_3300014205_002926	Virulent
IMGVR_UViG_3300037067_016138	-
IMGVR_UViG_3300037067_003476	Virulent
IMGVR_UViG_3300014206_002897	Temperate
IMGVR_UViG_3300044797_000373	-
IMGVR_UViG_3300044680_000201	-
IMGVR_UViG_3300044796_000360	-
IMGVR_UViG_3300002989_000063	Temperate
IMGVR_UViG_3300025481_000022	-
IMGVR_UViG_3300002986_000084	Temperate
IMGVR_UViG_3300025718_000224	Temperate
IMGVR_UViG_3300016748_000804	Filtered
IMGVR_UViG_3300016737_001416	Filtered
IMGVR_UViG_3300016742_000922	Filtered
IMGVR_UViG_3300016749_001108	-
IMGVR_UViG_3300016749_001099	Filtered
IMGVR_UViG_3300016723_000642	-
IMGVR_UViG_3300019196_000154	Filtered
IMGVR_UViG_3300020013_000523	Filtered
IMGVR_UViG_3300020013_000478	Filtered
IMGVR_UViG_3300016703_000527	Filtered
IMGVR_UViG_3300016703_000510	Filtered
IMGVR_UViG_3300016766_001242	Filtered
IMGVR_UViG_3300016734_001105	Filtered
IMGVR_UViG_3300019261_000955	Filtered
IMGVR_UViG_3300019261_000881	Filtered
IMGVR_UViG_3300019261_000904	Filtered
IMGVR_UViG_3300019267_000495	Filtered
IMGVR_UViG_3300019274_000989	Filtered
IMGVR_UViG_3300019274_000964	Filtered
IMGVR_UViG_3300019282_001848	Filtered
IMGVR_UViG_3300019282_001976	-
IMGVR_UViG_3300016741_001067	Filtered
IMGVR_UViG_3300016741_001136	Filtered
IMGVR_UViG_3300016787_001197	Filtered
IMGVR_UViG_3300019277_000846	Filtered
IMGVR_UViG_3300016743_001254	Filtered
IMGVR_UViG_3300016743_001161	-
IMGVR_UViG_3300016762_000790	Filtered
IMGVR_UViG_3300016732_000595	Filtered
IMGVR_UViG_3300019283_000971	Filtered
IMGVR_UViG_3300019272_001230	Filtered
IMGVR_UViG_3300019272_001236	Filtered
IMGVR_UViG_3300019272_001209	Filtered
IMGVR_UViG_3300019266_000925	Filtered
IMGVR_UViG_3300019266_000919	Filtered
IMGVR_UViG_3300019266_000813	Filtered
IMGVR_UViG_3300016751_000697	Filtered
IMGVR_UViG_3300016751_000581	Filtered
IMGVR_UViG_3300016781_000900	Filtered
IMGVR_UViG_3300016781_000943	Filtered
IMGVR_UViG_3300019276_001124	Filtered
IMGVR_UViG_3300019276_001163	Filtered
IMGVR_UViG_3300019276_001168	Filtered
IMGVR_UViG_3300016750_000653	Virulent
IMGVR_UViG_3300019240_000369	Filtered
IMGVR_UViG_3300009628_000017	Virulent
IMGVR_UViG_3300009632_000031	Virulent
IMGVR_UViG_3300009519_000249	-
IMGVR_UViG_3300018046_000073	Virulent
IMGVR_UViG_3300040943_000113	-
IMGVR_UViG_3300027497_000039	-
IMGVR_UViG_3300027854_000015	Virulent
IMGVR_UViG_3300027905_000701	Virulent
IMGVR_UViG_3300047499_000093	-
IMGVR_UViG_3300048015_000124	-
IMGVR_UViG_3300049215_000047	Virulent
IMGVR_UViG_3300036884_000057	Temperate
IMGVR_UViG_3300037087_000070	Temperate
IMGVR_UViG_3300037088_000111	Virulent
IMGVR_UViG_3300037089_000084	Temperate
IMGVR_UViG_3300036885_000078	Virulent
IMGVR_UViG_3300037090_000051	Temperate
IMGVR_UViG_3300037091_000049	Virulent
IMGVR_UViG_3300036886_000043	Virulent
IMGVR_UViG_3300038457_000252	-
IMGVR_UViG_3300036877_000168	-
IMGVR_UViG_3300036888_000117	-
IMGVR_UViG_3300036888_000107	-
IMGVR_UViG_3300037095_000339	-
IMGVR_UViG_3300037094_000191	-
IMGVR_UViG_3300036909_000565	-
IMGVR_UViG_3300033828_000025	-
IMGVR_UViG_3300037060_000096	-
IMGVR_UViG_3300037367_000117	-
IMGVR_UViG_3300037340_000156	Virulent
IMGVR_UViG_3300037563_000161	Temperate
IMGVR_UViG_3300023101_000100	-
IMGVR_UViG_3300037428_000124	-
IMGVR_UViG_3300046712_000086	-
IMGVR_UViG_3300048792_000073	Virulent
IMGVR_UViG_3300050017_000181	-
IMGVR_UViG_3300050020_000515	-
IMGVR_UViG_3300048778_000082	Virulent
IMGVR_UViG_3300046698_000605	-
IMGVR_UViG_3300046504_000212	-
IMGVR_UViG_3300049718_000055	Temperate
IMGVR_UViG_3300048811_000082	Virulent
IMGVR_UViG_3300048813_000325	-
IMGVR_UViG_3300048827_000197	Temperate
IMGVR_UViG_3300050123_000185	Temperate
IMGVR_UViG_3300037202_000176	Virulent
IMGVR_UViG_3300037104_001076	-
IMGVR_UViG_3300037106_000140	-
IMGVR_UViG_3300037225_001321	Virulent
IMGVR_UViG_3300037233_000210	Virulent
IMGVR_UViG_3300037100_000148	-
IMGVR_UViG_3300037100_000160	-
IMGVR_UViG_3300037131_000194	-
IMGVR_UViG_3300037111_000118	-
IMGVR_UViG_3300037135_000129	-
IMGVR_UViG_3300037116_000290	-
IMGVR_UViG_3300037116_000275	-
IMGVR_UViG_3300037116_000185	Virulent
IMGVR_UViG_3300050129_000183	Virulent
IMGVR_UViG_3300050132_000492	-
IMGVR_UViG_3300050137_000181	Virulent
IMGVR_UViG_3300037161_000224	-
IMGVR_UViG_3300037196_000558	-
IMGVR_UViG_3300037260_000054	-
IMGVR_UViG_3300037142_000052	-
IMGVR_UViG_3300037160_000118	Virulent
IMGVR_UViG_3300037170_000365	-
IMGVR_UViG_3300037170_000364	-
IMGVR_UViG_3300037176_000088	-
IMGVR_UViG_3300037236_000224	-
IMGVR_UViG_3300048046_000056	-
IMGVR_UViG_3300048046_000058	-
IMGVR_UViG_3300047660_000044	-
IMGVR_UViG_3300047660_000012	Virulent
IMGVR_UViG_3300018416_004041	-
IMGVR_UViG_3300022914_000740	Virulent
IMGVR_UViG_3300023172_000007	Virulent
IMGVR_UViG_3300022937_000135	Virulent
IMGVR_UViG_3300022935_000005	Virulent
IMGVR_UViG_3300023084_000008	Virulent
IMGVR_UViG_3300023081_001976	Virulent
IMGVR_UViG_3300023170_000007	Virulent
IMGVR_UViG_3300023117_002000	Virulent
IMGVR_UViG_3300020168_000003	Virulent
IMGVR_UViG_3300023115_002416	Virulent
IMGVR_UViG_3300017964_003987	Virulent
IMGVR_UViG_3300017964_003442	Temperate
IMGVR_UViG_3300023176_000005	Virulent
IMGVR_UViG_3300023180_000013	Virulent
IMGVR_UViG_3300023116_000011	Virulent
IMGVR_UViG_3300023173_000011	Virulent
IMGVR_UViG_3300020054_000008	Virulent
IMGVR_UViG_3300017818_002292	Temperate
IMGVR_UViG_3300023175_000564	Temperate
IMGVR_UViG_3300023175_003280	Virulent
IMGVR_UViG_3300018426_002228	Virulent
IMGVR_UViG_3300023108_000589	Virulent
IMGVR_UViG_3300023108_002447	Virulent
IMGVR_UViG_3300018418_000822	Virulent
IMGVR_UViG_3300023178_001066	Temperate
IMGVR_UViG_3300023178_004004	Virulent
IMGVR_UViG_3300018428_005928	Virulent
IMGVR_UViG_3300017986_000264	Temperate
IMGVR_UViG_3300017986_004171	Virulent
IMGVR_UViG_3300020207_001795	Temperate
IMGVR_UViG_3300020207_002606	Virulent
IMGVR_UViG_3300017957_000585	Temperate
IMGVR_UViG_3300023105_000537	Virulent
IMGVR_UViG_3300023105_002979	Virulent
IMGVR_UViG_3300018049_000266	Virulent
IMGVR_UViG_3300018049_004128	Virulent
IMGVR_UViG_3300020056_001912	Temperate
IMGVR_UViG_3300020056_002272	Virulent
IMGVR_UViG_3300020055_002331	Temperate
IMGVR_UViG_3300022939_000594	Virulent
IMGVR_UViG_3300017985_000464	Virulent
IMGVR_UViG_3300017985_002992	Virulent
IMGVR_UViG_3300022934_003347	Temperate
IMGVR_UViG_3300022934_004133	Virulent
IMGVR_UViG_3300017951_003716	Temperate
IMGVR_UViG_3300017951_005025	Virulent
IMGVR_UViG_3300026274_000070	-
IMGVR_UViG_3300045778_000254	-
IMGVR_UViG_3300045780_000045	-
IMGVR_UViG_3300014499_000532	-
IMGVR_UViG_3300014493_000711	-
IMGVR_UViG_3300014838_001534	Temperate
IMGVR_UViG_3300031788_000007	Temperate
IMGVR_UViG_3300031788_001035	Temperate
IMGVR_UViG_3300031524_000530	Virulent
IMGVR_UViG_3300031524_001448	-
IMGVR_UViG_3300031261_000782	-
IMGVR_UViG_3300031261_000926	-
IMGVR_UViG_3300029919_000047	-
IMGVR_UViG_3300030055_000004	Virulent
IMGVR_UViG_3300030004_000157	Virulent
IMGVR_UViG_3300030508_000174	Virulent
IMGVR_UViG_3300029986_000196	Virulent
IMGVR_UViG_3300030049_000573	-
IMGVR_UViG_3300030049_000136	Virulent
IMGVR_UViG_3300028765_000311	-
IMGVR_UViG_3300028853_000124	Virulent
IMGVR_UViG_3300028734_000041	Virulent
IMGVR_UViG_3300030230_000047	Virulent
IMGVR_UViG_3300028772_000007	Virulent
IMGVR_UViG_3300029995_000244	Virulent
IMGVR_UViG_3300028864_000049	Virulent
IMGVR_UViG_3300028859_000079	Virulent
IMGVR_UViG_3300028779_000036	Virulent
IMGVR_UViG_3300028745_000234	-
IMGVR_UViG_3300028854_000054	Virulent
IMGVR_UViG_3300028766_000053	Virulent
IMGVR_UViG_3300029998_000017	Virulent
IMGVR_UViG_3300030041_000122	Virulent
IMGVR_UViG_3300029982_000160	Virulent
IMGVR_UViG_3300028866_000299	-
IMGVR_UViG_3300029985_001133	-
IMGVR_UViG_3300029985_000301	Virulent
IMGVR_UViG_3300029994_000155	-
IMGVR_UViG_3300029983_000047	Virulent
IMGVR_UViG_3300030685_000722	Temperate
IMGVR_UViG_3300030685_000021	Virulent
IMGVR_UViG_3300028767_000019	Virulent
IMGVR_UViG_3300028862_000519	Virulent
IMGVR_UViG_3300031236_000969	-
IMGVR_UViG_3300031236_000985	-
IMGVR_UViG_3300031525_000929	-
IMGVR_UViG_3300034524_000181	Temperate
IMGVR_UViG_3300034683_000623	Temperate
IMGVR_UViG_3300034682_000024	Temperate
IMGVR_UViG_3300033997_000583	Virulent
IMGVR_UViG_3300031448_000095	Virulent
IMGVR_UViG_3300031472_000133	-
IMGVR_UViG_3300022719_000345	Virulent
IMGVR_UViG_3300022719_000329	Virulent
IMGVR_UViG_3300050330_000060	Temperate
IMGVR_UViG_3300023278_000820	Virulent
IMGVR_UViG_3300023196_002190	Virulent
IMGVR_UViG_3300033388_006579	-
IMGVR_UViG_3300033388_002091	Virulent
IMGVR_UViG_3300033153_005128	Virulent
IMGVR_UViG_3300033156_000507	Virulent
IMGVR_UViG_3300033148_002790	Temperate
IMGVR_UViG_3300037245_003619	Temperate
IMGVR_UViG_3300038548_000759	Virulent
IMGVR_UViG_3300048833_000100	Virulent
IMGVR_UViG_3300048586_000205	Virulent
IMGVR_UViG_3300048930_001305	Virulent
IMGVR_UViG_3300017989_006051	Virulent
IMGVR_UViG_3300017971_000840	Virulent
IMGVR_UViG_3300022223_000175	Temperate
IMGVR_UViG_3300048583_000359	Temperate
IMGVR_UViG_3300018001_000024	Virulent
IMGVR_UViG_3300018063_000004	Temperate
IMGVR_UViG_3300038421_000185	Virulent
IMGVR_UViG_3300031699_000167	-
IMGVR_UViG_3300031692_000082	-
IMGVR_UViG_3300028883_000750	-
IMGVR_UViG_3300037483_001012	Virulent
IMGVR_UViG_3300032516_004777	Virulent
IMGVR_UViG_3300031999_006622	Virulent
IMGVR_UViG_3300031999_006505	Virulent
IMGVR_UViG_3300031862_000591	-
IMGVR_UViG_3300032053_011701	Temperate
IMGVR_UViG_3300031885_002784	-
IMGVR_UViG_3300036760_000533	Virulent
IMGVR_UViG_3300035701_007101	Virulent
IMGVR_UViG_3300035659_000001	Virulent
IMGVR_UViG_3300035660_000002	Virulent
IMGVR_UViG_3300036761_004202	Virulent
IMGVR_UViG_3300037742_000148	-
IMGVR_UViG_3300037722_001436	Virulent
IMGVR_UViG_3300037722_000835	Virulent
IMGVR_UViG_3300037692_000547	Temperate
IMGVR_UViG_3300037424_000806	Virulent
IMGVR_UViG_3300037478_000847	Temperate
IMGVR_UViG_3300005613_002700	Temperate
IMGVR_UViG_3300002231_007514	-
IMGVR_UViG_3300037768_000349	Filtered
IMGVR_UViG_3300047501_000068	Temperate
IMGVR_UViG_3300037264_005184	Virulent
IMGVR_UViG_3300010933_000116	Temperate
IMGVR_UViG_3300010939_000090	Temperate
IMGVR_UViG_3300010939_000194	Temperate
IMGVR_UViG_3300010931_000105	Temperate
IMGVR_UViG_3300010931_000101	Temperate
IMGVR_UViG_3300003886_000401	Virulent
IMGVR_UViG_3300032106_000132	Temperate
IMGVR_UViG_3300032105_000062	Temperate
IMGVR_UViG_3300006230_000104	Filtered
IMGVR_UViG_3300006236_000535	-
IMGVR_UViG_3300006236_000537	-
IMGVR_UViG_3300023284_003514	Temperate
IMGVR_UViG_3300048080_000383	Virulent
IMGVR_UViG_3300003754_000246	-
IMGVR_UViG_3300010391_001396	Virulent
IMGVR_UViG_3300020234_000409	Temperate
IMGVR_UViG_3300020234_000447	Virulent
IMGVR_UViG_3300020235_000762	Virulent
IMGVR_UViG_3300022670_000827	Virulent
IMGVR_UViG_3300022690_000667	Virulent
IMGVR_UViG_3300022693_002800	Virulent
IMGVR_UViG_3300027985_000782	Temperate
IMGVR_UViG_3300028422_000783	Temperate
IMGVR_UViG_3300038974_000374	Virulent
IMGVR_UViG_3300027944_000004	Temperate
IMGVR_UViG_3300027016_000093	Temperate
IMGVR_UViG_3300027086_000119	Temperate
IMGVR_UViG_3300028164_000153	Temperate
IMGVR_UViG_3300027113_000247	Temperate
IMGVR_UViG_3300028278_000372	Filtered
IMGVR_UViG_3300028170_000339	Temperate
IMGVR_UViG_3300027078_000312	Temperate
IMGVR_UViG_3300026431_000102	Temperate
IMGVR_UViG_3300028172_000210	Temperate
IMGVR_UViG_3300016738_000193	Temperate
IMGVR_UViG_3300042931_000084	Temperate
IMGVR_UViG_3300042213_000056	Virulent
IMGVR_UViG_3300042214_000080	Virulent
IMGVR_UViG_3300042215_000061	Virulent
IMGVR_UViG_3300042440_000071	Virulent
IMGVR_UViG_3300042216_000071	Temperate
IMGVR_UViG_3300042217_000097	Temperate
IMGVR_UViG_3300042218_000078	Temperate
IMGVR_UViG_3300042219_000076	Temperate
IMGVR_UViG_3300042264_000102	Virulent
IMGVR_UViG_3300042220_000052	Temperate
IMGVR_UViG_3300042220_000068	Virulent
IMGVR_UViG_3300042221_000089	Temperate
IMGVR_UViG_3300042222_000079	Virulent
IMGVR_UViG_3300042223_000097	Temperate
IMGVR_UViG_3300042224_000100	Virulent
IMGVR_UViG_3300042921_000090	Virulent
IMGVR_UViG_3300042225_000092	Virulent
IMGVR_UViG_3300042226_000079	Temperate
IMGVR_UViG_3300042227_000099	Virulent
IMGVR_UViG_3300042441_000057	Temperate
IMGVR_UViG_3300042441_000098	Temperate
IMGVR_UViG_3300042228_000080	Virulent
IMGVR_UViG_3300042229_000088	Virulent
IMGVR_UViG_3300042230_000088	Temperate
IMGVR_UViG_3300042265_000093	Virulent
IMGVR_UViG_3300042231_000091	Temperate
IMGVR_UViG_3300042232_000039	Temperate
IMGVR_UViG_3300042232_000087	Virulent
IMGVR_UViG_3300042233_000078	Temperate
IMGVR_UViG_3300042234_000107	Virulent
IMGVR_UViG_3300042235_000097	Temperate
IMGVR_UViG_3300042266_000050	Virulent
IMGVR_UViG_3300042236_000052	Virulent
IMGVR_UViG_3300042237_000080	Temperate
IMGVR_UViG_3300042238_000072	Temperate
IMGVR_UViG_3300042238_000120	Virulent
IMGVR_UViG_3300042239_000064	Temperate
IMGVR_UViG_3300042239_000100	Virulent
IMGVR_UViG_3300042442_000096	Virulent
IMGVR_UViG_3300042496_000102	Virulent
IMGVR_UViG_3300042262_000185	Temperate
IMGVR_UViG_3300042206_000183	Temperate
IMGVR_UViG_3300042207_000168	Temperate
IMGVR_UViG_3300042240_000067	Temperate
IMGVR_UViG_3300042241_000043	Temperate
IMGVR_UViG_3300042242_000138	Virulent
IMGVR_UViG_3300042243_000093	Virulent
IMGVR_UViG_3300042244_000105	Temperate
IMGVR_UViG_3300042245_000113	Virulent
IMGVR_UViG_3300042246_000072	Temperate
IMGVR_UViG_3300042246_000116	Temperate
IMGVR_UViG_3300042443_000076	Temperate
IMGVR_UViG_3300042443_000120	Virulent
IMGVR_UViG_3300042247_000081	Virulent
IMGVR_UViG_3300042248_000126	Virulent
IMGVR_UViG_3300042249_000080	Temperate
IMGVR_UViG_3300042250_000088	Temperate
IMGVR_UViG_3300042251_000096	Virulent
IMGVR_UViG_3300042252_000109	Virulent
IMGVR_UViG_3300042253_000131	Temperate
IMGVR_UViG_3300042208_000050	Temperate
IMGVR_UViG_3300042209_000097	Virulent
IMGVR_UViG_3300042263_000067	Virulent
IMGVR_UViG_3300042210_000070	Virulent
IMGVR_UViG_3300042211_000098	Temperate
IMGVR_UViG_3300042212_000131	Virulent
IMGVR_UViG_3300001688_000329	Temperate
IMGVR_UViG_3300001682_000329	Temperate
IMGVR_UViG_3300001682_000412	Virulent
IMGVR_UViG_3300001688_000412	Virulent
IMGVR_UViG_3300009685_000525	Virulent
IMGVR_UViG_3300025784_000351	Virulent
IMGVR_UViG_3300009690_000844	Virulent
IMGVR_UViG_3300025859_000478	Virulent
IMGVR_UViG_3300009687_000583	Virulent
IMGVR_UViG_3300025861_000580	Virulent
IMGVR_UViG_3300009657_000224	Virulent
IMGVR_UViG_3300009668_000334	Virulent
IMGVR_UViG_3300009682_000764	Temperate
IMGVR_UViG_3300032001_000934	-
IMGVR_UViG_3300009720_000052	Temperate
IMGVR_UViG_3300033075_001613	Virulent
IMGVR_UViG_3300027694_000049	Virulent
IMGVR_UViG_3300027724_000506	Temperate
IMGVR_UViG_3300003962_000039	Virulent
IMGVR_UViG_3300033171_000313	Temperate
IMGVR_UViG_3300007790_001586	Virulent
IMGVR_UViG_3300023053_000184	Temperate
IMGVR_UViG_3300023053_000227	Temperate
IMGVR_UViG_3300022862_000001	Temperate
IMGVR_UViG_3300023059_000224	Temperate
IMGVR_UViG_3300037471_001310	Temperate
IMGVR_UViG_3300037466_003585	Temperate
IMGVR_UViG_3300037312_001429	Temperate
IMGVR_UViG_3300037418_003206	Virulent
IMGVR_UViG_3300038443_002023	Virulent
IMGVR_UViG_3300025242_000030	Temperate
IMGVR_UViG_3300025299_000079	-
IMGVR_UViG_3300025273_000082	-
IMGVR_UViG_3300025297_000064	Temperate
IMGVR_UViG_3300037423_001696	Virulent
IMGVR_UViG_3300036805_000371	-
IMGVR_UViG_3300020156_000361	-
IMGVR_UViG_3300037313_001442	Temperate
IMGVR_UViG_3300037467_002418	Virulent
IMGVR_UViG_3300037419_001975	Virulent
IMGVR_UViG_3300038393_001965	Virulent
IMGVR_UViG_3300035667_000099	-
IMGVR_UViG_3300043831_000076	-
IMGVR_UViG_3300043833_000068	-
IMGVR_UViG_3300012179_000003	Temperate
IMGVR_UViG_3300030988_001048	Filtered
IMGVR_UViG_3300019879_000029	Virulent
IMGVR_UViG_3300042904_000624	Virulent
IMGVR_UViG_3300047569_000083	Filtered
IMGVR_UViG_3300032895_000159	Virulent
IMGVR_UViG_3300031718_000053	Temperate
IMGVR_UViG_3300022508_000412	Filtered
IMGVR_UViG_3300022506_000321	Filtered
IMGVR_UViG_3300044908_000098	Virulent
IMGVR_UViG_3300044653_000240	Virulent
IMGVR_UViG_3300037840_000620	Virulent
IMGVR_UViG_3300037248_000318	Virulent
IMGVR_UViG_3300048920_000392	Temperate
IMGVR_UViG_3300048921_000234	Temperate
IMGVR_UViG_3300048921_000351	Temperate
IMGVR_UViG_3300048922_000277	Temperate
IMGVR_UViG_3300048922_000409	Temperate
IMGVR_UViG_3300048923_000244	Temperate
IMGVR_UViG_3300048923_000154	Temperate
IMGVR_UViG_3300048923_000193	Temperate
IMGVR_UViG_3300048924_000376	-
IMGVR_UViG_3300048919_000503	Temperate
IMGVR_UViG_3300048927_000501	Temperate
IMGVR_UViG_3300048927_000396	Temperate
IMGVR_UViG_3300048927_000299	Temperate
IMGVR_UViG_3300048927_000454	Temperate
IMGVR_UViG_3300048928_000422	Temperate
IMGVR_UViG_3300048928_000204	Temperate
IMGVR_UViG_3300048925_000169	Temperate
IMGVR_UViG_3300048925_000149	Temperate
IMGVR_UViG_3300048925_000206	Temperate
IMGVR_UViG_3300048925_000477	Temperate
IMGVR_UViG_3300048926_000363	Temperate
IMGVR_UViG_3300048926_000330	Temperate
IMGVR_UViG_3300013104_000487	Temperate
IMGVR_UViG_3300013102_000546	Temperate
IMGVR_UViG_3300013102_000650	Temperate
IMGVR_UViG_3300013102_000502	Virulent
IMGVR_UViG_3300013102_000798	Temperate
IMGVR_UViG_3300013102_000038	Temperate
IMGVR_UViG_3300013102_000789	Temperate
IMGVR_UViG_3300013100_000392	Temperate
IMGVR_UViG_3300020069_001331	Filtered
IMGVR_UViG_3300009093_000042	Virulent
IMGVR_UViG_3300025913_000020	Virulent
IMGVR_UViG_3300009148_000264	Temperate
IMGVR_UViG_3300025935_000216	Temperate
IMGVR_UViG_3300011119_000274	Temperate
IMGVR_UViG_3300004801_001311	Filtered
IMGVR_UViG_3300005289_000470	Temperate
IMGVR_UViG_3300009177_001466	Virulent
IMGVR_UViG_3300009092_000179	Temperate
