Table S2. Metadata of 1839 filtered phage genomes.							
UViGs	Viral OTUs	Virulence genes	Isolation Source	Country	Bit Score	E-value	Identities
IMGVR_UViG_3300029517_000104	vOTU_05129393	fliC	Host-associated;Human;Digestive system;Large intestine	Asia	284.263	1.51581e-84	81.71428571
IMGVR_UViG_3300029520_000178	vOTU_01747125	mgtB	Host-associated;Human;Digestive system;Large intestine	Asia	298.901	2.54054e-84	30.83756345
IMGVR_UViG_3300029513_000231	vOTU_08582649	mgtB	Host-associated;Human;Digestive system;Large intestine	Asia	298.516	4.21826e-84	28.30930537
IMGVR_UViG_3300029815_000517	vOTU_08602450	mgtB	Host-associated;Human;Digestive system;Large intestine	Asia	295.434	5.64611e-83	28.30930537
IMGVR_UViG_3300029577_000394	vOTU_00252935	pagC	Host-associated;Human;Digestive system;Large intestine	Asia	101.293	1.66103e-23	33.67875648
IMGVR_UViG_3300029541_000153	vOTU_05131338	mgtB	Host-associated;Human;Digestive system;Large intestine	Asia	296.975	1.61591e-83	28.17824377
IMGVR_UViG_3300029531_000136	vOTU_05050149	mgtB	Host-associated;Human;Digestive system;Large intestine	Asia	369.007	8.26058e-117	55.94855305
IMGVR_UViG_3300039377_000113	vOTU_05107480	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	297.745	1.13671e-83	28.30930537
IMGVR_UViG_3300039377_000120	vOTU_07089516	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	487.263	1.67435e-172	85.81560284
IMGVR_UViG_3300029095_000187	vOTU_00245973	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	154.836	2.6478e-42	37.00440529
IMGVR_UViG_3300029043_000144	vOTU_00233223	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	488.804	3.23378e-173	86.17021277
IMGVR_UViG_3300029058_000214	vOTU_00220923	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	386.341	1.65699e-133	84.71615721
IMGVR_UViG_3300029038_000168	vOTU_03372310	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	870.537	0	48.24654623
IMGVR_UViG_3300039366_000165	vOTU_00240027	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	489.96	1.11659e-173	86.5248227
IMGVR_UViG_3300039372_000083	vOTU_00220404	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	488.804	3.23378e-173	86.17021277
IMGVR_UViG_3300039314_000133	vOTU_00220404	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	488.804	3.23378e-173	86.17021277
IMGVR_UViG_3300039381_000112	vOTU_06502489	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	209.149	1.02181e-52	28.29457364
IMGVR_UViG_3300039376_000148	vOTU_00258285	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	300.442	8.98081e-85	29.03225806
IMGVR_UViG_3300039320_000025	vOTU_00245973	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	487.263	1.67435e-172	85.81560284
IMGVR_UViG_3300028976_000034	vOTU_00222979	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	486.108	4.9024e-172	85.81560284
IMGVR_UViG_3300028982_000017	vOTU_00227746	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	489.96	1.11659e-173	86.5248227
IMGVR_UViG_3300014510_000017	vOTU_00227746	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	488.804	3.35369e-173	86.17021277
IMGVR_UViG_3300039370_000009	vOTU_05044651	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	487.263	1.67435e-172	85.81560284
IMGVR_UViG_3300029094_000074	vOTU_05045394	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	487.263	1.67435e-172	85.81560284
IMGVR_UViG_3300029091_000078	vOTU_05045170	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	870.922	0	48.24654623
IMGVR_UViG_3300029177_000070	vOTU_08613477	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	288.5	2.77089e-80	26.45444566
IMGVR_UViG_3300029083_000052	vOTU_05044838	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	873.233	0	48.45908608
IMGVR_UViG_3300029035_000080	vOTU_05041085	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	266.929	1.67993e-72	27.67857143
IMGVR_UViG_3300029029_000138	vOTU_05040540	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	322.013	1.03174e-92	29.12735849
IMGVR_UViG_3300029041_000125	vOTU_05041671	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	395.201	3.54671e-125	47.08423326
IMGVR_UViG_3300028966_000074	vOTU_05043479	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	496.508	2.58674e-162	45.88815789
IMGVR_UViG_3300028964_000081	vOTU_05037927	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	487.263	1.67435e-172	85.81560284
IMGVR_UViG_3300014954_000013	vOTU_02901112	mgtC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	93.2041	1.50285e-20	42.98245614
IMGVR_UViG_3300014950_000087	vOTU_02923661	fliC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	275.789	5.73937e-85	75.53191489
IMGVR_UViG_3300029070_000029	vOTU_05044473	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	486.493	2.71222e-172	86.17021277
IMGVR_UViG_3300039360_000009	vOTU_07088883	pagC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	101.293	1.55775e-23	32.4742268
IMGVR_UViG_3300039360_000027	vOTU_07088886	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	489.96	1.11659e-173	86.5248227
IMGVR_UViG_3300028985_000047	vOTU_05038488	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	488.804	3.23378e-173	86.17021277
IMGVR_UViG_3300028995_000046	vOTU_05038772	misL	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	444.121	4.19769e-140	47.36842105
IMGVR_UViG_3300014522_000033	vOTU_00227746	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	488.804	3.35369e-173	86.17021277
IMGVR_UViG_3300014527_000052	vOTU_00220404	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	488.804	3.35369e-173	86.17021277
IMGVR_UViG_3300039379_000029	vOTU_07089694	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	311.997	7.154e-89	28.07825086
IMGVR_UViG_3300039379_000022	vOTU_07089694	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	311.997	7.154e-89	28.07825086
IMGVR_UViG_3300039318_000063	vOTU_00222979	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	489.96	1.11659e-173	86.5248227
IMGVR_UViG_3300014529_000085	vOTU_02883860	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	202.216	4.53912e-60	40.433213
IMGVR_UViG_3300029047_000115	vOTU_01800940	araB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	82.8037	4.05274e-13	21.94244604
IMGVR_UViG_3300029040_000072	vOTU_05041557	araB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	80.8777	1.82488e-12	21.35036496
IMGVR_UViG_3300029101_000274	vOTU_08581235	araB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	82.8037	4.05274e-13	21.94244604
IMGVR_UViG_3300029124_000217	vOTU_05048922	araB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	81.2629	1.35091e-12	21.76258993
IMGVR_UViG_3300029058_000309	vOTU_00748850	araB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	82.8037	4.05274e-13	21.94244604
IMGVR_UViG_3300029055_000161	vOTU_05043429	araB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	81.2629	1.35091e-12	21.76258993
IMGVR_UViG_3300029039_000008	vOTU_05041511	araB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	82.0333	7.59999e-13	21.76258993
IMGVR_UViG_3300029045_000126	vOTU_00748850	araB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	82.8037	4.05274e-13	21.94244604
IMGVR_UViG_3300029030_000169	vOTU_01752094	araB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	60.4622	5.54053e-06	21.59468439
IMGVR_UViG_3300029042_000246	vOTU_08581235	araB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	80.8777	1.82488e-12	21.35036496
IMGVR_UViG_3300039322_000123	vOTU_07086577	araB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	81.2629	1.38724e-12	21.76258993
IMGVR_UViG_3300014597_000054	vOTU_08520426	bcfC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	357.451	1.49999e-106	30.92783505
IMGVR_UViG_3300039366_000290	vOTU_08520426	bcfC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	357.836	9.66194e-107	30.92783505
IMGVR_UViG_3300028953_000013	vOTU_05037537	bcfC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	342.043	1.09269e-105	44.28223844
IMGVR_UViG_3300028912_000014	vOTU_08520426	bcfC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	357.066	1.70763e-106	30.92783505
IMGVR_UViG_3300028963_000035	vOTU_08520426	bcfC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	357.066	1.70763e-106	30.92783505
IMGVR_UViG_3300039384_000088	vOTU_08520426	bcfC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	357.451	1.46559e-106	30.92783505
IMGVR_UViG_3300028951_000019	vOTU_08520426	bcfC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	357.066	1.70763e-106	30.92783505
IMGVR_UViG_3300029085_000036	vOTU_05044902	bcfC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	157.532	1.86496e-37	28.05611222
IMGVR_UViG_3300029107_000039	vOTU_05046903	bcfC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	375.555	2.1558e-113	32.46445498
IMGVR_UViG_3300014787_000149	vOTU_02902204	araB	Host-associated;Human;Digestive system;Large intestine	Europe	82.8037	4.06655e-13	21.94244604
IMGVR_UViG_3300014803_000142	vOTU_01752354	araB	Host-associated;Human;Digestive system;Large intestine	Europe	81.2629	1.35529e-12	21.76258993
IMGVR_UViG_3300014783_000112	vOTU_01425093	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	298.516	4.37574e-84	31.10831234
IMGVR_UViG_3300014744_000101	vOTU_08537583	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	296.59	1.7134e-83	28.30930537
IMGVR_UViG_3300014790_000248	vOTU_08537583	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	296.59	1.7134e-83	28.30930537
IMGVR_UViG_3300014794_000188	vOTU_08537583	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	296.59	1.7134e-83	28.30930537
IMGVR_UViG_3300035645_000171	vOTU_01806323	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	298.13	4.89925e-84	30.83756345
IMGVR_UViG_3300014566_000145	vOTU_02886932	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	879.396	0	48.14422057
IMGVR_UViG_3300035644_000125	vOTU_06534892	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	297.36	9.75441e-84	28.30930537
IMGVR_UViG_3300035652_000074	vOTU_06534892	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	297.36	9.75441e-84	28.30930537
IMGVR_UViG_3300000277_000048	vOTU_00746280	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	316.62	1.74488e-90	28.58707558
IMGVR_UViG_3300029190_000077	vOTU_05054493	bcfC	Host-associated;Human;Digestive system;Large intestine	Europe	343.969	1.92029e-101	30.67776457
IMGVR_UViG_3300000281_000125	vOTU_00747770	araB	Host-associated;Human;Digestive system;Large intestine	Europe	377.096	4.5828e-123	49.43502825
IMGVR_UViG_3300000291_000075	vOTU_00748144	araB	Host-associated;Human;Digestive system;Large intestine	Europe	61.2326	2.1765e-06	23.48993289
IMGVR_UViG_3300022758_000287	vOTU_00220923	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	488.804	3.23378e-173	86.17021277
IMGVR_UViG_3300022758_000397	vOTU_00264239	bcfC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	385.956	4.44643e-117	30.63583815
IMGVR_UViG_3300013900_000020	vOTU_02827919	mgtC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	93.9745	6.00576e-21	43.85964912
IMGVR_UViG_3300013946_000164	vOTU_01764537	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	297.36	1.01368e-83	28.30930537
IMGVR_UViG_3300013958_000298	vOTU_02830029	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	296.59	2.78029e-83	28.30930537
IMGVR_UViG_3300013958_000161	vOTU_02830029	mgtB	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	296.59	2.78029e-83	28.30930537
IMGVR_UViG_3300013958_000143	vOTU_02829987	sitC	Host-associated;Mammals: Human;Digestive system;Large intestine	Europe	487.263	1.73641e-172	85.81560284
IMGVR_UViG_2051223006_000032	vOTU_00681529	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	704.516	0	51.4115899
IMGVR_UViG_3300030365_000213	vOTU_08604472	araB	Host-associated;Human;Digestive system;Large intestine	Europe	82.0333	7.53301e-13	21.94244604
IMGVR_UViG_3300029584_000299	vOTU_05137668	araB	Host-associated;Human;Digestive system;Large intestine	Europe	81.2629	1.35091e-12	21.76258993
IMGVR_UViG_3300029583_000362	vOTU_08589358	araB	Host-associated;Human;Digestive system;Large intestine	Europe	82.8037	4.05274e-13	21.94244604
IMGVR_UViG_3300029710_000301	vOTU_08572585	araB	Host-associated;Human;Digestive system;Large intestine	Europe	80.8777	1.97605e-12	21.94244604
IMGVR_UViG_3300029703_000123	vOTU_05143377	araB	Host-associated;Human;Digestive system;Large intestine	Europe	82.0333	7.53301e-13	21.94244604
IMGVR_UViG_3300029668_000181	vOTU_07959902	araB	Host-associated;Human;Digestive system;Large intestine	Europe	81.6481	9.73746e-13	21.76258993
IMGVR_UViG_3300029604_000141	vOTU_05137668	araB	Host-associated;Human;Digestive system;Large intestine	Europe	81.2629	1.35091e-12	21.76258993
IMGVR_UViG_3300029850_000117	vOTU_05129247	araB	Host-associated;Human;Digestive system;Large intestine	Europe	81.2629	1.37503e-12	21.76258993
IMGVR_UViG_3300029675_000278	vOTU_07959902	araB	Host-associated;Human;Digestive system;Large intestine	Europe	81.6481	9.73746e-13	21.76258993
IMGVR_UViG_3300029702_000009	vOTU_05143377	araB	Host-associated;Human;Digestive system;Large intestine	Europe	81.6481	1.03597e-12	21.53284672
IMGVR_UViG_3300029888_000102	vOTU_08520426	bcfC	Host-associated;Human;Digestive system;Large intestine	Europe	357.451	1.31622e-106	30.92783505
IMGVR_UViG_3300029653_000186	vOTU_08520426	bcfC	Host-associated;Human;Digestive system;Large intestine	Europe	352.829	8.36681e-105	30.69873998
IMGVR_UViG_3300029872_000368	vOTU_08579022	araB	Host-associated;Human;Digestive system;Large intestine	Europe	80.8777	1.82488e-12	21.35036496
IMGVR_UViG_3300029843_000123	vOTU_00227805	sitC	Host-associated;Human;Digestive system;Large intestine	Europe	488.804	3.23378e-173	86.17021277
IMGVR_UViG_3300029878_000206	vOTU_05168318	misL	Host-associated;Human;Digestive system;Large intestine	Europe	278.1	3.61451e-75	32.5542571
IMGVR_UViG_3300029840_000255	vOTU_01425093	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	296.204	2.86652e-83	31.22580645
IMGVR_UViG_3300029576_000213	vOTU_01918899	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	296.975	1.56772e-83	28.30930537
IMGVR_UViG_3300029706_000242	vOTU_08612330	fliC	Host-associated;Human;Digestive system;Large intestine	Europe	347.821	4.29858e-112	47.27626459
IMGVR_UViG_3300029653_000080	vOTU_00223067	sitC	Host-associated;Human;Digestive system;Large intestine	Europe	489.96	1.11659e-173	86.5248227
IMGVR_UViG_3300029587_000294	vOTU_05136380	sseI	Host-associated;Human;Digestive system;Large intestine	Europe	67.781	9.13294e-09	25.06666667
IMGVR_UViG_3300029643_000090	vOTU_00229741	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	828.165	0	57.63195435
IMGVR_UViG_3300029886_000119	vOTU_05169451	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	870.922	0	48.24654623
IMGVR_UViG_3300029844_000196	vOTU_05165100	mgtC	Host-associated;Human;Digestive system;Large intestine	Europe	105.531	2.05956e-24	49.56521739
IMGVR_UViG_3300029617_000243	vOTU_05139537	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	297.36	9.75441e-84	28.30930537
IMGVR_UViG_3300029887_000324	vOTU_01403901	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	872.078	0	48.35281615
IMGVR_UViG_3300029616_000157	vOTU_05139386	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	211.46	3.01544e-53	27.54010695
IMGVR_UViG_3300029623_000287	vOTU_05140560	sitC	Host-associated;Human;Digestive system;Large intestine	Europe	489.96	1.11659e-173	86.5248227
IMGVR_UViG_3300029615_000462	vOTU_08604472	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	296.975	1.3339e-83	28.30930537
IMGVR_UViG_3300029742_000189	vOTU_05116215	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	325.479	1.06471e-93	31.87660668
IMGVR_UViG_3300029742_000259	vOTU_05044838	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	873.618	0	48.45908608
IMGVR_UViG_3300029681_000236	vOTU_02383660	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	207.608	5.11977e-52	26.96629213
IMGVR_UViG_3300029719_000265	vOTU_05147622	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	299.671	1.94298e-84	31.21693122
IMGVR_UViG_3300029852_000274	vOTU_01950953	sitC	Host-associated;Human;Digestive system;Large intestine	Europe	344.739	2.50537e-116	60.63829787
IMGVR_UViG_3300029735_000261	vOTU_05054168	pagC	Host-associated;Human;Digestive system;Large intestine	Europe	104.76	7.76756e-25	34.02061856
IMGVR_UViG_3300029737_000259	vOTU_05130901	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	213.386	4.78514e-54	25.76754386
IMGVR_UViG_3300029647_000134	vOTU_08592949	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	829.706	0	51.03532278
IMGVR_UViG_3300029860_000179	vOTU_05166911	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	249.98	1.49127e-67	29.42097027
IMGVR_UViG_3300029881_000339	vOTU_05168564	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	208.764	5.84236e-53	26.41752577
IMGVR_UViG_3300029881_000280	vOTU_00236848	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	207.608	5.11977e-52	26.96629213
IMGVR_UViG_3300029881_000211	vOTU_01425319	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	882.863	0	48.09322034
IMGVR_UViG_3300029690_000222	vOTU_05142723	mgtB	Host-associated;Human;Digestive system;Large intestine	Europe	297.36	9.46337e-84	28.30930537
IMGVR_UViG_3300029875_000273	vOTU_00227663	pagC	Host-associated;Human;Digestive system;Large intestine	Europe	103.99	1.85027e-24	34.02061856
IMGVR_UViG_3300013025_000094	vOTU_08577164	bcfC	Host-associated;Fungi;Mycelium;Unclassified	South America	471.855	4.19362e-150	35.49939832
IMGVR_UViG_3300009944_000210	vOTU_08589954	misL	Host-associated;Microbial;Bacteria;Unclassified	South America	530.02	4.38209e-165	47.04944179
IMGVR_UViG_3300012078_000225	vOTU_08584090	bcfC	Host-associated;Fungi;Mycelium;Unclassified	North America	477.248	2.1434e-152	35.25943396
IMGVR_UViG_3300012125_000029	vOTU_02644484	bcfC	Host-associated;Fungi;Mycelium;Unclassified	North America	480.33	2.20494e-153	35.40445487
IMGVR_UViG_3300012153_000074	vOTU_02646835	misL	Host-associated;Fungi;Mycelium;Unclassified	North America	425.246	5.8654e-128	40.81632653
IMGVR_UViG_3300012082_000087	vOTU_02643118	misL	Host-associated;Fungi;Mycelium;Unclassified	North America	93.5893	3.45799e-18	30.72625698
IMGVR_UViG_3300012082_000088	vOTU_02643025	bcfC	Host-associated;Fungi;Mycelium;Unclassified	North America	252.677	3.25576e-73	43.98734177
IMGVR_UViG_3300045159_000088	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045152_000056	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045153_000054	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045154_000076	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045187_000103	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300047612_000054	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045604_000075	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045605_000031	vOTU_00659255	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045606_000078	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045685_000098	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045607_000041	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045828_000076	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045829_000041	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045830_000038	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045831_000057	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045832_000102	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045833_000056	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045197_000107	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045279_000093	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300049632_000099	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045198_000079	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045199_000100	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045220_000101	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045221_000104	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045222_000049	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045277_000075	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045299_000104	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045223_000077	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300044916_000084	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300044917_000072	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300044924_000062	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300046833_000063	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300044918_000085	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300044919_000098	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045104_000073	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045105_000062	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045133_000069	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045155_000080	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045188_000036	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045160_000058	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045162_000044	vOTU_00660207	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045686_000029	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045687_000069	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045688_000091	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045689_000072	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045834_000059	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045835_000063	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
IMGVR_UViG_3300045788_000056	vOTU_00658819	misL	Environmental;Terrestrial;Nest;Insects nest	North America	106.301	1.40321e-19	25.29691211
